task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
453	ac/0dbd1f	3693570.pbsha.ib.sockeye	runMatching (452)	CACHED	0	2022-04-20 22:41:12.791	25m 25s	25m 11s	117.9%	1.2 GB	9 GB	5.3 GB	3.3 GB
452	0a/5724ba	3693569.pbsha.ib.sockeye	runMatching (451)	CACHED	0	2022-04-20 22:40:27.598	29m 15s	28m 59s	105.2%	1.9 GB	9.9 GB	6.1 GB	4.1 GB
457	37/626dc9	3693579.pbsha.ib.sockeye	runMatching (456)	CACHED	0	2022-04-20 22:44:17.646	57m 23s	57m 12s	105.2%	1.7 GB	9.2 GB	3.8 GB	1.7 GB
450	98/8127f4	3693560.pbsha.ib.sockeye	runMatching (449)	CACHED	0	2022-04-20 22:37:47.605	2h 32m 14s	2h 32m	105.1%	662.2 MB	8.3 GB	2.4 GB	1.1 GB
460	d9/0056b7	3693573.pbsha.ib.sockeye	runMatching (459)	CACHED	0	2022-04-20 22:41:42.609	20m 25s	20m 13s	120.7%	965.3 MB	8.6 GB	4.4 GB	2.5 GB
466	1e/166349	3693578.pbsha.ib.sockeye	runMatching (465)	CACHED	0	2022-04-20 22:43:42.655	11m 25s	11m 11s	111.6%	671.6 MB	8.3 GB	2.8 GB	1.3 GB
456	72/a717a2	3693572.pbsha.ib.sockeye	runMatching (455)	CACHED	0	2022-04-20 22:41:32.623	11m 25s	11m 16s	110.6%	677.2 MB	8.3 GB	2.8 GB	1.3 GB
451	da/69faee	3693561.pbsha.ib.sockeye	runMatching (450)	CACHED	0	2022-04-20 22:37:57.589	10m 35s	10m 23s	113.5%	670.4 MB	8.3 GB	2.7 GB	1.4 GB
448	80/4fea4f	3693562.pbsha.ib.sockeye	runMatching (447)	CACHED	0	2022-04-20 22:38:17.610	5m 25s	5m 15s	111.3%	666.2 MB	8.3 GB	2.2 GB	1.1 GB
465	2c/1af285	3693586.pbsha.ib.sockeye	runMatching (464)	CACHED	0	2022-04-20 22:48:32.660	9m 25s	9m 14s	133.7%	659.2 MB	8.3 GB	2.8 GB	1.4 GB
464	d7/6951f0	3693585.pbsha.ib.sockeye	runMatching (463)	CACHED	0	2022-04-20 22:48:12.643	2h 35m 19s	2h 35m 8s	109.7%	668.1 MB	8.3 GB	2.4 GB	1.1 GB
468	f9/24909e	3693577.pbsha.ib.sockeye	runMatching (467)	CACHED	0	2022-04-20 22:42:39.702	20m 33s	20m 21s	115.9%	958.3 MB	8.6 GB	4.4 GB	2.5 GB
470	3c/eb3046	3693583.pbsha.ib.sockeye	runMatching (469)	CACHED	0	2022-04-20 22:46:57.643	58m 13s	58m 1s	102.0%	1.8 GB	9.2 GB	3.8 GB	1.7 GB
461	2e/7beb49	3693575.pbsha.ib.sockeye	runMatching (460)	CACHED	0	2022-04-20 22:42:39.363	5m 23s	5m 13s	114.0%	672.5 MB	8.3 GB	2.2 GB	1.1 GB
471	76/7c4682	3693590.pbsha.ib.sockeye	runMatching (470)	CACHED	0	2022-04-20 22:50:07.648	5m 50s	5m 37s	115.0%	658.1 MB	8.3 GB	2.3 GB	1.1 GB
459	3b/268abf	3693576.pbsha.ib.sockeye	runMatching (458)	CACHED	0	2022-04-20 22:42:39.519	1h 16s	1h 6s	123.8%	968.8 MB	8.6 GB	3.6 GB	2.2 GB
469	82/50829b	3693581.pbsha.ib.sockeye	runMatching (468)	CACHED	0	2022-04-20 22:46:32.891	2h 33m 14s	2h 33m 3s	115.5%	660.9 MB	8.3 GB	2.4 GB	1.1 GB
462	37/8cc1c1	3693574.pbsha.ib.sockeye	runMatching (461)	CACHED	0	2022-04-20 22:42:07.611	25m 15s	25m 4s	105.7%	1.2 GB	8.9 GB	5.2 GB	3.3 GB
463	e7/9132bc	3693593.pbsha.ib.sockeye	runMatching (462)	CACHED	0	2022-04-20 22:52:57.901	33m 15s	33m 2s	112.4%	1.9 GB	9.8 GB	6 GB	4.1 GB
473	58/849e7c	3693584.pbsha.ib.sockeye	runMatching (472)	CACHED	0	2022-04-20 22:48:02.680	31m 55s	31m 47s	117.2%	1.8 GB	9.8 GB	6 GB	4.1 GB
472	20/1c17d7	3693587.pbsha.ib.sockeye	runMatching (471)	CACHED	0	2022-04-20 22:49:27.634	24m 10s	23m 53s	112.1%	1.2 GB	9 GB	5.3 GB	3.3 GB
476	77/242d83	3693595.pbsha.ib.sockeye	runMatching (475)	CACHED	0	2022-04-20 22:53:37.660	1h 23s	1h 10s	114.6%	1.8 GB	9.3 GB	3.9 GB	1.7 GB
474	cc/e88d14	3693588.pbsha.ib.sockeye	runMatching (473)	CACHED	0	2022-04-20 22:49:57.653	10m 10s	9m 58s	108.9%	671.7 MB	8.3 GB	2.8 GB	1.4 GB
480	8d/528986	3693592.pbsha.ib.sockeye	runMatching (479)	CACHED	0	2022-04-20 22:51:22.684	32m 35s	32m 20s	116.8%	1.9 GB	9.8 GB	6 GB	4.1 GB
475	fd/43692a	3693594.pbsha.ib.sockeye	runMatching (474)	CACHED	0	2022-04-20 22:53:22.692	12m 45s	12m 33s	109.7%	666.3 MB	8.3 GB	2.8 GB	1.3 GB
467	6d/7ad564	3693582.pbsha.ib.sockeye	runMatching (466)	CACHED	0	2022-04-20 22:46:52.629	54m 53s	54m 41s	102.1%	958.9 MB	8.6 GB	3.6 GB	2.2 GB
482	df/47e451	3693605.pbsha.ib.sockeye	runMatching (481)	CACHED	0	2022-04-20 22:55:57.690	27m 45s	27m 35s	104.3%	1.2 GB	8.9 GB	5.2 GB	3.3 GB
479	47/eb965f	3693596.pbsha.ib.sockeye	runMatching (478)	CACHED	0	2022-04-20 22:53:42.669	6m 10s	5m 56s	104.6%	673.5 MB	8.3 GB	2.2 GB	1.1 GB
478	a1/320b27	3693597.pbsha.ib.sockeye	runMatching (477)	CACHED	0	2022-04-20 22:53:52.678	2h 37m 14s	2h 37m 4s	117.4%	668.4 MB	8.3 GB	2.4 GB	1.1 GB
477	52/c3d5ef	3693591.pbsha.ib.sockeye	runMatching (476)	CACHED	0	2022-04-20 22:50:57.666	1h 43s	1h 29s	106.8%	955.9 MB	8.6 GB	3.6 GB	2.2 GB
481	ea/847bec	3693598.pbsha.ib.sockeye	runMatching (480)	CACHED	0	2022-04-20 22:54:07.738	9m 30s	9m 18s	105.5%	665.9 MB	8.3 GB	2.8 GB	1.4 GB
491	8c/60b4ce	3693610.pbsha.ib.sockeye	runMatching (490)	CACHED	0	2022-04-20 22:58:27.685	9m 15s	9m 3s	103.7%	671.1 MB	8.3 GB	2.8 GB	1.4 GB
484	37/2b7fce	3693601.pbsha.ib.sockeye	runMatching (483)	CACHED	0	2022-04-20 22:54:47.898	12m	11m 47s	108.7%	666.7 MB	8.3 GB	2.8 GB	1.3 GB
486	39/1f803c	3693607.pbsha.ib.sockeye	runMatching (485)	CACHED	0	2022-04-20 22:57:52.691	19m 15s	19m 4s	116.9%	961.6 MB	8.6 GB	4.4 GB	2.5 GB
483	61/e85822	3693599.pbsha.ib.sockeye	runMatching (482)	CACHED	0	2022-04-20 22:54:22.655	22m 40s	22m 24s	118.8%	955.6 MB	8.6 GB	4.4 GB	2.5 GB
487	ed/323f74	3693611.pbsha.ib.sockeye	runMatching (486)	CACHED	0	2022-04-20 22:58:27.762	58m 23s	58m 13s	110.6%	967.4 MB	8.6 GB	3.6 GB	2.2 GB
489	23/1dde9a	3693609.pbsha.ib.sockeye	runMatching (488)	CACHED	0	2022-04-20 22:58:07.874	27m 50s	27m 34s	113.6%	1.2 GB	9 GB	5.2 GB	3.3 GB
493	3d/ba545f	3693604.pbsha.ib.sockeye	runMatching (492)	CACHED	0	2022-04-20 22:55:07.671	11m 15s	10m 56s	111.8%	678.3 MB	8.3 GB	2.8 GB	1.3 GB
498	9e/c35fba	3693618.pbsha.ib.sockeye	runMatching (497)	CACHED	0	2022-04-20 23:00:17.725	6m 5s	5m 53s	131.5%	659.5 MB	8.3 GB	2.2 GB	1.1 GB
501	24/87e4e7	3693615.pbsha.ib.sockeye	runMatching (500)	CACHED	0	2022-04-20 22:59:52.721	10m 50s	10m 37s	109.0%	667.2 MB	8.3 GB	2.8 GB	1.4 GB
485	94/767241	3693600.pbsha.ib.sockeye	runMatching (484)	CACHED	0	2022-04-20 22:54:42.695	56m 33s	56m 19s	102.9%	1.6 GB	9 GB	3.8 GB	1.7 GB
503	02/5ff601	3693621.pbsha.ib.sockeye	runMatching (502)	CACHED	0	2022-04-20 23:01:52.935	1h 1m 8s	1h 59s	140.2%	965.8 MB	8.6 GB	3.6 GB	2.2 GB
