"","algorithm","model","seed","ks_p","ks_stat"
"1","Reference","8-schools",5,0.447315927091662,0.00377372748707282
"2","Reference","8-schools",1,0.590004678332288,0.00338058506463565
"3","Reference","8-schools",8,0.120310341427407,0.00518994132872617
"4","Reference","8-schools",6,0.756434209823095,0.00294409525274217
"5","Reference","8-schools",7,0.19751203448776,0.0047093030940001
"6","Reference","8-schools",9,0.00193536966942098,0.00815569148374686
"7","Reference","8-schools",2,0.0282388274328205,0.0063896524411893
"8","Reference","8-schools",4,0.000699956280557079,0.00873281565534699
"9","Reference","8-schools",10,0.22727750604983,0.00456370494413778
"10","Reference","8-schools",3,0.685297164263633,0.00313248047704793
"11","Reference","mining",5,0.00303065807822567,0.00788779311309305
"12","Reference","mining",1,0.0751002579021135,0.00560832442784778
"13","Reference","mining",8,0.309588508981381,0.00422422404924199
"14","Reference","mining",6,0.090116608427805,0.00545032546962355
"15","Reference","mining",7,0.177812211595788,0.00481528805166256
"16","Reference","mining",9,0.146686876901543,0.00500340847326838
"17","Reference","mining",2,0.601097700972054,0.00335149785268084
"18","Reference","mining",4,0.219167786510759,0.00460185595041376
"19","Reference","mining",10,0.531456021768404,0.00353669436079144
"20","Reference","mining",3,0.569295650673024,0.00343523884185368
"21","Reference","sparse-car",5,0.735375376290462,0.00300071065336032
"22","Reference","sparse-car",1,3.42396333985473e-06,0.0112804435971164
"23","Reference","sparse-car",8,0.0189792294069135,0.00668099603871774
"24","Reference","sparse-car",6,0.344249024927656,0.00410036726359413
"25","Reference","sparse-car",7,0.0525264979961469,0.00590591220221432
"26","Reference","sparse-car",9,0.0746861374309431,0.00561304758297729
"27","Reference","sparse-car",2,0.000377977124693785,0.00906461652191158
"28","Reference","sparse-car",4,0.00121030909897768,0.00842698145404926
"29","Reference","sparse-car",10,0.0450908063878899,0.00602848926787421
"30","Reference","sparse-car",3,0.48092239677003,0.00367671915343289
"31","Reference","vaccines",5,0.767082353934611,0.00291506220971091
"32","Reference","vaccines",1,0.38716793955151,0.00395793928748778
"33","Reference","vaccines",8,0.158210520648357,0.00493035142925526
"34","Reference","vaccines",6,0.843535349953665,0.00269336618080201
"35","Reference","vaccines",7,0.344562900882352,0.00409928496849886
"36","Reference","vaccines",9,0.437187202419275,0.00380371123638327
"37","Reference","vaccines",2,0.866769099163714,0.00261855506370324
"38","Reference","vaccines",4,0.718990429180277,0.00304417613107036
"39","Reference","vaccines",10,0.418522149163394,0.0038599943314889
"40","Reference","vaccines",3,0.828416420486613,0.00273968673580588
"41","Reference","mrna-no-transf",5,0,0.027279722893754
"42","Reference","mrna-no-transf",1,0,0.0407516003830361
"43","Reference","mrna-no-transf",8,0,0.0541876614216477
"44","Reference","mrna-no-transf",6,0.00601650868052139,0.00745959848016179
"45","Reference","mrna-no-transf",7,0,0.0347813257074123
"46","Reference","mrna-no-transf",9,0,0.0393932658696641
"47","Reference","mrna-no-transf",2,0,0.0427456571762383
"48","Reference","mrna-no-transf",4,1.11022302462516e-16,0.0190365338893135
"49","Reference","mrna-no-transf",10,5.10702591327572e-15,0.0179428887795563
"50","Reference","mrna-no-transf",3,0,0.03809571759736
"51","Reference","titanic",5,0.233076401350513,0.00453705133358166
"52","Reference","titanic",1,0.00010296750680705,0.00972778773710241
"53","Reference","titanic",8,0.137455173286117,0.00506534484559146
"54","Reference","titanic",6,0.359768493181267,0.00404761227382479
"55","Reference","titanic",7,0.047314007290563,0.00599011108546593
