model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,name,value
,MomentMatch,,FKL,false,,4.0,9,exec_13,6,false,2328.0,Rejection,0.5658533092593863
,MomentMatch,,FKL,false,,4.0,9,exec_13,7,false,4668.0,Rejection,0.5539582723620042
,MomentMatch,,FKL,false,,4.0,9,exec_13,8,false,9360.0,Rejection,0.5500557948455166
,MomentMatch,,FKL,false,,4.0,9,exec_13,9,false,18732.0,Rejection,0.5688338548812809
,MomentMatch,,FKL,false,,4.0,9,exec_13,10,false,37488.0,Rejection,0.5636483192138398
,MomentMatch,,FKL,false,,4.0,9,exec_13,11,false,75000.0,Rejection,0.5760996771699037
,MomentMatch,,FKL,false,,4.0,9,exec_13,12,true,150012.0,Rejection,0.5651841198005366
,MomentMatch,,FKL,false,,4.0,9,exec_13,13,false,300012.0,Rejection,0.5461532043445123
,MomentMatch,,FKL,true,,4.0,10,exec_14,1,false,120.0,Rejection,2.0426494721261745
,MomentMatch,,FKL,true,,4.0,10,exec_14,2,false,264.0,Rejection,1.0992756468908276
,MomentMatch,,FKL,true,,4.0,10,exec_14,3,false,552.0,Rejection,0.7842739374306593
,MomentMatch,,FKL,true,,4.0,10,exec_14,4,false,1128.0,Rejection,0.7278090808277276
,MomentMatch,,FKL,true,,4.0,10,exec_14,5,false,2304.0,Rejection,1.3290555993413262
,MomentMatch,,FKL,true,,4.0,10,exec_14,6,false,4656.0,Rejection,1.051351715017183
,MomentMatch,,FKL,true,,4.0,10,exec_14,7,false,9336.0,Rejection,0.8569557095270006
,MomentMatch,,FKL,true,,4.0,10,exec_14,8,false,18720.0,Rejection,0.8646852787722069
,MomentMatch,,FKL,true,,4.0,10,exec_14,9,false,37464.0,Rejection,0.8463162894832515
,MomentMatch,,FKL,true,,4.0,10,exec_14,10,false,74976.0,Rejection,0.9680400179917946
,MomentMatch,,FKL,true,,4.0,10,exec_14,11,false,150000.0,Rejection,0.5615919174034807
,MomentMatch,,FKL,true,,4.0,10,exec_14,12,true,300024.0,Rejection,0.5524097859243586
,MomentMatch,,FKL,true,,4.0,10,exec_14,13,false,600024.0,Rejection,0.5577988281673495
,MomentMatch,,FKL,false,,4.0,7,exec_15,2,false,132.0,Rejection,2.272803500270596
,MomentMatch,,FKL,false,,4.0,7,exec_15,3,false,276.0,Rejection,0.4322984339517141
,MomentMatch,,FKL,false,,4.0,7,exec_15,4,false,564.0,Rejection,0.7601596430272196
,MomentMatch,,FKL,false,,4.0,7,exec_15,5,false,1152.0,Rejection,0.4781087054101888
,MomentMatch,,FKL,false,,4.0,7,exec_15,6,false,2328.0,Rejection,0.5581007421526363
,MomentMatch,,FKL,false,,4.0,7,exec_15,7,false,4668.0,Rejection,0.5147431986197474
,MomentMatch,,FKL,false,,4.0,7,exec_15,8,false,9360.0,Rejection,0.5348384537105227
,MomentMatch,,FKL,false,,4.0,7,exec_15,9,false,18732.0,Rejection,0.5502564663923812
,MomentMatch,,FKL,false,,4.0,7,exec_15,10,false,37488.0,Rejection,0.5856427656996049
,MomentMatch,,FKL,false,,4.0,7,exec_15,11,false,75000.0,Rejection,0.555107092504249
,MomentMatch,,FKL,false,,4.0,7,exec_15,12,true,150012.0,Rejection,0.545588345776422
,MomentMatch,,FKL,false,,4.0,7,exec_15,13,false,300012.0,Rejection,0.5641208250965748
,MomentMatch,,FKL,false,,4.0,10,exec_16,2,false,132.0,Rejection,2.91112505827342
,MomentMatch,,FKL,false,,4.0,10,exec_16,3,false,276.0,Rejection,0.4123902918467708
,MomentMatch,,FKL,false,,4.0,10,exec_16,4,false,564.0,Rejection,0.6150310983142568
,MomentMatch,,FKL,false,,4.0,10,exec_16,5,false,1152.0,Rejection,0.6798021028725538
,MomentMatch,,FKL,false,,4.0,10,exec_16,6,false,2328.0,Rejection,0.6372639270991926
,MomentMatch,,FKL,false,,4.0,10,exec_16,7,false,4668.0,Rejection,0.5660372185303296
