model,optimizer,antithetics,objective,useFixedRef,stepScale,nChains,random,execFolder,iter,isFinal,budget,dim,name,value
,MomentMatch,,FKL,true,,4.0,6,exec_1,12,true,300024.0,1,p0_SOFTPLUS_VARIANCE,-3.6218732234561615
,MomentMatch,,FKL,true,,4.0,6,exec_1,12,true,300024.0,2,p1_MEAN,3.133543005534762
,MomentMatch,,FKL,true,,4.0,6,exec_1,12,true,300024.0,3,p1_SOFTPLUS_VARIANCE,-1.3104404185569
,MomentMatch,,FKL,true,,4.0,6,exec_1,13,false,600024.0,0,p0_MEAN,-0.36637547729888054
,MomentMatch,,FKL,true,,4.0,6,exec_1,13,false,600024.0,1,p0_SOFTPLUS_VARIANCE,-3.611130451524542
,MomentMatch,,FKL,true,,4.0,6,exec_1,13,false,600024.0,2,p1_MEAN,3.1409421708646414
,MomentMatch,,FKL,true,,4.0,6,exec_1,13,false,600024.0,3,p1_SOFTPLUS_VARIANCE,-1.2843419225092154
,MomentMatch,,FKL,false,,4.0,3,exec_10,2,false,132.0,0,p0_MEAN,-0.2682556858033099
,MomentMatch,,FKL,false,,4.0,3,exec_10,2,false,132.0,1,p0_SOFTPLUS_VARIANCE,-4.936608491999628
,MomentMatch,,FKL,false,,4.0,3,exec_10,2,false,132.0,2,p1_MEAN,3.505979312565685
,MomentMatch,,FKL,false,,4.0,3,exec_10,2,false,132.0,3,p1_SOFTPLUS_VARIANCE,-2.415493187502278
,MomentMatch,,FKL,false,,4.0,3,exec_10,3,false,276.0,0,p0_MEAN,-0.3039298464466749
,MomentMatch,,FKL,false,,4.0,3,exec_10,3,false,276.0,1,p0_SOFTPLUS_VARIANCE,-4.152405732807009
,MomentMatch,,FKL,false,,4.0,3,exec_10,3,false,276.0,2,p1_MEAN,3.288923721663179
,MomentMatch,,FKL,false,,4.0,3,exec_10,3,false,276.0,3,p1_SOFTPLUS_VARIANCE,-1.529578449610005
,MomentMatch,,FKL,false,,4.0,3,exec_10,4,false,564.0,0,p0_MEAN,-0.3409902452741951
