round,value
0,-22611.766265419854
1,-3306.503730863613
2,-2.9164909337452606E10
3,-22105.174111936234
4,-1467.5225730697423
5,-1424.38569772999
6,429570.62331957615
7,-1884.6845341995493
8,-1882.2752836412708
9,-1876.6565907138538
10,-1866.717971911261
11,-1844.3612686240808
12,-1745.276646259656
13,-1086.6372925395553
14,-1438.9238217536224
15,22307.644472556367
16,-1473.500780898605
17,-1473.5041252855026
18,-1473.4952001270817
