round,count,rate
0,0.017028252273560345,0.008514126136780173
1,0.058314425999583114,0.014578606499895778
2,0.10244078050972732,0.012805097563715916
3,0.14863609565662758,0.009909073043775172
4,0.2954543512540556,0.009530785524324374
5,0.565795494388982,0.00927533597358987
6,4.985212771534382,0.04086239976667526
7,7.856120557915631,0.03219721540129357
8,17.444242309812513,0.035746398175845316
9,30.526976731707155,0.031245626132760648
10,47.1821361665104,0.024158799880445676
11,57.60903587475784,0.0147488571107931
12,76.23545461467488,0.009757513709800957
13,151.50459818005655,0.009696294283523619
14,39.25163684310251,0.009344375443353151
15,3928.446251005687,0.06558187019466391
16,7578.842867202093,0.06188345860794324
17,16508.548638036227,0.06665777224898344
18,33214.28344029676,0.06674044199528481
