round,value
0,57.72593287525423
1,33.29683077073069
2,38.046949662982875
3,49.45880656961121
4,51.46157294421379
5,52.90640311290881
6,11.236187861090032
7,14.529293256208478
8,12.987423223463722
9,15.002239733508052
10,19.696392307330793
11,32.900931865025925
12,50.242561872885084
13,50.56609168201739
14,52.5081240079732
15,6.624058272749329
16,7.0797035467539455
17,6.501000755506426
18,6.491709450101108
