round,count,rate
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,2.3358940214573794E-4,7.535142004701223E-6
5,0.1798035503828251,0.0029475991866036904
6,2.3135110419271783,0.01896320526169818
7,6.949142665129019,0.028480092889873028
8,15.954257971174547,0.03269315158027571
9,27.5898135080764,0.02823931781788782
10,41.02454232895122,0.02100591005066627
11,40.908749874597234,0.010473310259753517
12,31.031421167849423,0.00397176771635088
13,96.84505947871594,0.00619808380663782
14,23.293809526075968,0.005545401904834431
15,3457.7205608763616,0.05772352897402178
16,7257.0487667463385,0.05925591608664201
17,15877.565506971156,0.06411000558786227
18,31949.599575945274,0.06419919915189055
