round,count,rate
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.03953303804984267,0.0012752592919304088
5,0.18103937894602912,0.002967858671246379
6,0.9312582647543295,0.007633264465199422
7,1.2588979164460299,0.005159417690352582
8,6.276656915626174,0.012862001876283143
9,13.753456132488092,0.014077232479516982
10,27.454817702228453,0.014057766360588047
11,59.57398671394586,0.015251916721440311
12,78.87699039693386,0.010095608651853816
13,125.16614799489216,0.008010633471673098
14,17.387495625683453,0.00535639986002187
15,198.12495974921035,0.005569999355987365
16,697.5675375945673,0.006780540300756538
17,3335.3910064739357,0.013941564025895744
18,29317.753178223462,0.058935388485669954
19,63676.96516603126,0.06382690133912992
20,127576.13221197644,0.06386306610598821
