round,isAdapt,value
0,true,448
1,true,460
2,true,790
3,true,1582
4,true,3188
5,true,5622
6,true,12476
7,true,24788
8,true,49556
9,true,96846
10,true,192736
11,true,382534
12,true,780769
13,true,1578032
14,true,3192021
15,true,6501740
16,true,12933053
17,true,25177197
18,true,48371498
19,true,101148058
20,false,207865476
