round,count,rate
0,0.01806440976420295,0.009032204882101475
1,0.07389921558353482,0.018474803895883705
2,0.10254440762440249,0.012818050953050312
3,0.13962871874057753,0.009308581249371835
4,0.27093469765871747,0.008739828956732821
5,0.5375505508546625,0.008812304112371517
6,2.8755867390267786,0.023570383106776876
7,3.620555547942186,0.014838342409599123
8,10.599106902983303,0.02171948135857234
9,18.865251818873723,0.01930936726599153
10,34.4260331876512,0.017627257136534152
11,74.47875806070823,0.01906778240161501
12,110.38233392836891,0.014128034548620109
13,182.10087657629919,0.011654456100883148
14,31.047751530066698,0.009564584545688771
15,341.17884415370105,0.009591754338363734
16,1047.0599411460187,0.010177698567697284
17,4348.9450168786625,0.01817810723847076
18,31695.92858948057,0.06371606492078
19,66241.47464183476,0.06639744930523639
20,132651.76238212286,0.06640386507414489
