round,value
0,-30336.80184043823
1,-3742.830643330726
2,-2.164515460249528E10
3,-16892.219583218783
4,-1619.7810474187838
5,-1589.1135605109898
6,837061.0295720831
7,-1931.3860302927
8,-1873.7151796215774
9,-1295.6376427868308
10,-1465.845060986241
11,-1793.902140168203
12,-1854.771805161404
13,-1743.193092725599
14,-1538.0777069364353
15,-1453.734694990175
16,-1473.4947659307318
17,-1457.730231549357
18,-1473.5119382195426
19,-1473.501354718401
20,-1473.4870086605
