"","model","nChains","objectiveType","antithetics","dim","essn","mean","sd","snr"
"54","CHRVariational",4,"Rejection","OFF",0,1,0.0951159310061079,0.109016350809709,0.872492339907204
"55","CHRVariational",4,"Rejection","OFF",1,0.5,0.0726005657816761,0.0753873058474525,0.963034359240594
"56","CHRVariational",4,"Rejection","OFF",1,1,0.0726005657816761,0.0753873058474525,0.963034359240594
"57","CHRVariational",4,"Rejection","OFF",2,0.5,-0.309764392151263,0.138002142464505,2.24463466015346
"58","CHRVariational",4,"Rejection","OFF",2,1,-0.309764392151263,0.138002142464504,2.24463466015346
"59","CHRVariational",4,"Rejection","OFF",3,0.5,-0.144003189849751,0.105671758265571,1.36274054878359
"60","CHRVariational",4,"Rejection","OFF",3,1,-0.144003189849751,0.105671758265571,1.36274054878359
"61","CHRVariational",4,"SKL","IS",-1,0.5,0.919119870584274,0.674813565759578,1.36203526013841
"62","CHRVariational",4,"SKL","IS",-1,1,2.502227304975,1.34778034421853,1.85655423430725
"63","CHRVariational",4,"SKL","IS",0,0.5,-0.0574084822423391,0.152944200289612,0.375355731918122
"64","CHRVariational",4,"SKL","IS",0,1,-0.0255921465647855,0.271498516535214,0.0942625650091393
"65","CHRVariational",4,"SKL","IS",1,0.5,0.0355551422419801,0.0637000621374429,0.558164953831038
"66","CHRVariational",4,"SKL","IS",1,1,0.0335669733234004,0.185400618323233,0.181051032229454
"67","CHRVariational",4,"SKL","IS",2,0.5,-0.0914002363760812,0.183156942748464,0.499026872825697
"68","CHRVariational",4,"SKL","IS",2,1,-0.191871483684457,0.392689366826043,0.488608808624692
"69","CHRVariational",4,"SKL","IS",3,0.5,-0.120640224110414,0.264297352344829,0.456456423191916
"70","CHRVariational",4,"SKL","IS",3,1,-0.113965093144878,0.473610335229853,0.240630502899749
"71","CHRVariational",4,"SKL","MCMC",-1,0.5,16.2493203155933,3.40397966329294,4.7736243817256
"72","CHRVariational",4,"SKL","MCMC",-1,1,16.2493203155933,3.40397966329294,4.7736243817256
"73","CHRVariational",4,"SKL","MCMC",0,0.5,6.68099020371698,4.71938928663327,1.41564719457231
"74","CHRVariational",4,"SKL","MCMC",0,1,6.68099020371698,4.71938928663327,1.4156471945723
"75","CHRVariational",4,"SKL","MCMC",1,0.5,4.23295840844386,5.28492904470503,0.800948957429213
"76","CHRVariational",4,"SKL","MCMC",1,1,4.23295840844386,5.28492904470503,0.800948957429213
"77","CHRVariational",4,"SKL","MCMC",2,0.5,-5.82504013016165,3.18275051242477,1.83019061890712
"78","CHRVariational",4,"SKL","MCMC",2,1,-5.82504013016165,3.18275051242477,1.83019061890712
"79","CHRVariational",4,"SKL","MCMC",3,0.5,-1.20593908743807,2.2323018294254,0.540222236770054
"80","CHRVariational",4,"SKL","MCMC",3,1,-1.20593908743807,2.2323018294254,0.540222236770054
"81","CHRVariational",4,"SKL","OFF",-1,0.5,16.2458687048036,3.30643524585799,4.91340900299044
"82","CHRVariational",4,"SKL","OFF",-1,1,16.2458687048036,3.30643524585799,4.91340900299044
"83","CHRVariational",4,"SKL","OFF",0,0.5,6.80021279347391,4.84581657929125,1.40331617637672
"84","CHRVariational",4,"SKL","OFF",0,1,6.80021279347391,4.84581657929125,1.40331617637672
"85","CHRVariational",4,"SKL","OFF",1,0.5,4.10093224742886,5.21323459269464,0.786638731580494
"86","CHRVariational",4,"SKL","OFF",1,1,4.10093224742886,5.21323459269464,0.786638731580494
"87","CHRVariational",4,"SKL","OFF",2,0.5,-5.70040561694444,3.34167921340063,1.70585063763301
"88","CHRVariational",4,"SKL","OFF",2,1,-5.70040561694444,3.34167921340063,1.70585063763301
"89","CHRVariational",4,"SKL","OFF",3,0.5,-1.18143235036544,2.18732086211398,0.5401275920825
"90","CHRVariational",4,"SKL","OFF",3,1,-1.18143235036544,2.18732086211398,0.5401275920825
"91","CHRVariational",8,"ApproxRejection","IS",-1,0.5,NA,NA,NA
"92","CHRVariational",8,"ApproxRejection","IS",-1,1,2.10794355882227,0.287989674571734,7.31951088856558
"93","CHRVariational",8,"ApproxRejection","IS",0,0.5,NA,NA,NA
"94","CHRVariational",8,"ApproxRejection","IS",0,1,-0.0343549990422521,0.0257539588707923,1.33396963218786
"95","CHRVariational",8,"ApproxRejection","IS",1,0.5,NA,NA,NA
"96","CHRVariational",8,"ApproxRejection","IS",1,1,0.0274742507383936,0.011964284374332,2.29635554278002
"97","CHRVariational",8,"ApproxRejection","IS",2,0.5,NA,NA,NA
"98","CHRVariational",8,"ApproxRejection","IS",2,1,-0.0611825973255509,0.0308375545977323,1.98402882860401
"99","CHRVariational",8,"ApproxRejection","IS",3,0.5,NA,NA,NA
"100","CHRVariational",8,"ApproxRejection","IS",3,1,-0.064648064051387,0.047756958841873,1.35368887841962
"101","CHRVariational",8,"ApproxRejection","MCMC",-1,0.5,2.63773008585772,0.163274109302451,16.15522569455
"102","CHRVariational",8,"ApproxRejection","MCMC",-1,1,2.63773008585772,0.163274109302451,16.15522569455
"103","CHRVariational",8,"ApproxRejection","MCMC",0,0.5,-0.0472736083565414,0.0243630664328411,1.94038006204413
"104","CHRVariational",8,"ApproxRejection","MCMC",0,1,-0.0472736083565414,0.0243630664328412,1.94038006204412
"105","CHRVariational",8,"ApproxRejection","MCMC",1,0.5,0.0386158881381987,0.011639008783771,3.31779869365194
"106","CHRVariational",8,"ApproxRejection","MCMC",1,1,0.0386158881381987,0.011639008783771,3.31779869365193
"107","CHRVariational",8,"ApproxRejection","MCMC",2,0.5,-0.0858734595621024,0.0290358593679909,2.95749674475863
"108","CHRVariational",8,"ApproxRejection","MCMC",2,1,-0.0858734595621024,0.0290358593679909,2.95749674475863
"109","CHRVariational",8,"ApproxRejection","MCMC",3,0.5,-0.0870757749003123,0.0435758592732276,1.99825720829355
"110","CHRVariational",8,"ApproxRejection","MCMC",3,1,-0.0870757749003123,0.0435758592732276,1.99825720829355
"111","CHRVariational",8,"ApproxRejection","OFF",-1,0.5,2.6660140773169,0.144589210005973,18.4385410032102
"112","CHRVariational",8,"ApproxRejection","OFF",-1,1,2.6660140773169,0.144589210005972,18.4385410032102
"113","CHRVariational",8,"ApproxRejection","OFF",0,0.5,-0.0446900148997332,0.0269808989379878,1.65635752175817
"114","CHRVariational",8,"ApproxRejection","OFF",0,1,-0.0446900148997332,0.0269808989379878,1.65635752175817
"115","CHRVariational",8,"ApproxRejection","OFF",1,0.5,0.0366787285477176,0.0126660392644932,2.895832531527
"116","CHRVariational",8,"ApproxRejection","OFF",1,1,0.0366787285477176,0.0126660392644932,2.89583253152699
"117","CHRVariational",8,"ApproxRejection","OFF",2,0.5,-0.0820327342318164,0.0309404608978889,2.6513093810252
"118","CHRVariational",8,"ApproxRejection","OFF",2,1,-0.0820327342318164,0.0309404608978889,2.6513093810252
"119","CHRVariational",8,"ApproxRejection","OFF",3,0.5,-0.0834157864916923,0.0452697371451809,1.84263907307825
"120","CHRVariational",8,"ApproxRejection","OFF",3,1,-0.0834157864916923,0.0452697371451809,1.84263907307825
"121","CHRVariational",8,"Rejection","IS",-1,0.5,NA,NA,NA
"122","CHRVariational",8,"Rejection","IS",-1,1,2.10794355882227,0.287989674571734,7.31951088856559
"123","CHRVariational",8,"Rejection","IS",0,0.5,NA,NA,NA
"124","CHRVariational",8,"Rejection","IS",0,1,0.0764394818255597,0.0939144353825275,0.813926863471098
"125","CHRVariational",8,"Rejection","IS",1,0.5,NA,NA,NA
"126","CHRVariational",8,"Rejection","IS",1,1,0.0300546017174952,0.0710965247742599,0.422729547089991
"127","CHRVariational",8,"Rejection","IS",2,0.5,NA,NA,NA
"128","CHRVariational",8,"Rejection","IS",2,1,-0.213265993922701,0.127315119518978,1.67510343412835
"129","CHRVariational",8,"Rejection","IS",3,0.5,NA,NA,NA
"130","CHRVariational",8,"Rejection","IS",3,1,-0.087460364758156,0.121654535788505,0.718923994007138
"131","CHRVariational",8,"Rejection","MCMC",-1,0.5,2.63773008585772,0.163274109302451,16.15522569455
"132","CHRVariational",8,"Rejection","MCMC",-1,1,2.63773008585772,0.163274109302451,16.15522569455
"133","CHRVariational",8,"Rejection","MCMC",0,0.5,0.235201568087466,0.147997197280479,1.58922988008834
"134","CHRVariational",8,"Rejection","MCMC",0,1,0.235201568087466,0.147997197280479,1.58922988008834
"135","CHRVariational",8,"Rejection","MCMC",1,0.5,0.123219609318898,0.12170842429911,1.0124164373049
"136","CHRVariational",8,"Rejection","MCMC",1,1,0.123219609318898,0.12170842429911,1.0124164373049
"137","CHRVariational",8,"Rejection","MCMC",2,0.5,-0.553164588144701,0.198776290353861,2.78284994231435
"138","CHRVariational",8,"Rejection","MCMC",2,1,-0.553164588144701,0.198776290353861,2.78284994231434
"139","CHRVariational",8,"Rejection","MCMC",3,0.5,-0.230501271407551,0.163222432878686,1.41219112680957
"140","CHRVariational",8,"Rejection","MCMC",3,1,-0.230501271407551,0.163222432878686,1.41219112680957
"141","CHRVariational",8,"Rejection","OFF",-1,0.5,2.6660140773169,0.144589210005972,18.4385410032103
"142","CHRVariational",8,"Rejection","OFF",-1,1,2.6660140773169,0.144589210005972,18.4385410032103
"143","CHRVariational",8,"Rejection","OFF",0,0.5,0.265083226749142,0.178531557103179,1.48479759573229
"144","CHRVariational",8,"Rejection","OFF",0,1,0.265083226749142,0.178531557103179,1.48479759573229
"145","CHRVariational",8,"Rejection","OFF",1,0.5,0.116530061918455,0.0978522445313589,1.1908777614305
"146","CHRVariational",8,"Rejection","OFF",1,1,0.116530061918455,0.0978522445313589,1.1908777614305
"147","CHRVariational",8,"Rejection","OFF",2,0.5,-0.48666432861464,0.223747365190029,2.17506171838634
"148","CHRVariational",8,"Rejection","OFF",2,1,-0.48666432861464,0.223747365190029,2.17506171838634
"149","CHRVariational",8,"Rejection","OFF",3,0.5,-0.162914161004505,0.154516623883544,1.05434714343286
"150","CHRVariational",8,"Rejection","OFF",3,1,-0.162914161004505,0.154516623883545,1.05434714343286
"151","CHRVariational",8,"SKL","IS",-1,0.5,0.865373089876957,0.421678784641347,2.05220922037372
"152","CHRVariational",8,"SKL","IS",-1,1,2.91418920312219,0.912979691964289,3.191954025672
"153","CHRVariational",8,"SKL","IS",0,0.5,-0.0140140328548638,0.10935579710408,0.128150799737903
"154","CHRVariational",8,"SKL","IS",0,1,0.24649260215126,0.309885056158246,0.795432361944509
"155","CHRVariational",8,"SKL","IS",1,0.5,0.0203750069722843,0.0531041863684675,0.383679863408711
"156","CHRVariational",8,"SKL","IS",1,1,0.146028688145897,0.310072840722346,0.470949625274204
"157","CHRVariational",8,"SKL","IS",2,0.5,-0.037857809860277,0.137567686517153,0.275194057694331
"158","CHRVariational",8,"SKL","IS",2,1,-0.584487755127656,0.466486417086752,1.25295771477728
"159","CHRVariational",8,"SKL","IS",3,0.5,-0.0615130231761755,0.154548495344037,0.39801761278389
"160","CHRVariational",8,"SKL","IS",3,1,-0.225707280410388,0.377631300163439,0.597692194245292
"161","CHRVariational",8,"SKL","MCMC",-1,0.5,5.09541851581244,0.700209802578537,7.27698826415805
"162","CHRVariational",8,"SKL","MCMC",-1,1,5.09541851581244,0.700209802578538,7.27698826415805
"163","CHRVariational",8,"SKL","MCMC",0,0.5,1.30707085075817,0.864419506735947,1.512079309378
"164","CHRVariational",8,"SKL","MCMC",0,1,1.30707085075817,0.864419506735947,1.512079309378
"165","CHRVariational",8,"SKL","MCMC",1,0.5,0.784716858438205,1.47595674705023,0.531666568147408
"166","CHRVariational",8,"SKL","MCMC",1,1,0.784716858438205,1.47595674705023,0.531666568147408
"167","CHRVariational",8,"SKL","MCMC",2,0.5,-2.07799424977296,0.843045406367909,2.46486634536754
"168","CHRVariational",8,"SKL","MCMC",2,1,-2.07799424977296,0.843045406367909,2.46486634536754
"169","CHRVariational",8,"SKL","MCMC",3,0.5,-0.530420145297667,0.814281860579208,0.651396243704082
"170","CHRVariational",8,"SKL","MCMC",3,1,-0.530420145297667,0.814281860579207,0.651396243704083
"171","CHRVariational",8,"SKL","OFF",-1,0.5,5.10231441877831,0.574469201694722,8.88178931738402
"172","CHRVariational",8,"SKL","OFF",-1,1,5.10231441877831,0.574469201694721,8.88178931738402
"173","CHRVariational",8,"SKL","OFF",0,0.5,1.29152223215555,0.888488214132844,1.4536177426012
"174","CHRVariational",8,"SKL","OFF",0,1,1.29152223215555,0.888488214132844,1.4536177426012
"175","CHRVariational",8,"SKL","OFF",1,0.5,0.803223765396806,1.44030386286085,0.5576766029089
"176","CHRVariational",8,"SKL","OFF",1,1,0.803223765396806,1.44030386286085,0.557676602908901
"177","CHRVariational",8,"SKL","OFF",2,0.5,-2.05138543680734,0.78104177494195,2.62647338800772
"178","CHRVariational",8,"SKL","OFF",2,1,-2.05138543680734,0.78104177494195,2.62647338800772
"179","CHRVariational",8,"SKL","OFF",3,0.5,-0.514403542188805,0.717954003774738,0.716485372996405
"180","CHRVariational",8,"SKL","OFF",3,1,-0.514403542188805,0.717954003774737,0.716485372996405
"181","CHRVariational",16,"ApproxRejection","IS",-1,0.5,2.05899756818134,0.238820093723412,8.62154241747326
"182","CHRVariational",16,"ApproxRejection","IS",-1,1,2.53030447991593,0.261701122660532,9.66868026469317
"183","CHRVariational",16,"ApproxRejection","IS",0,0.5,-0.0330966443782903,0.029430071004884,1.12458595063525
"184","CHRVariational",16,"ApproxRejection","IS",0,1,-0.0403795893408845,0.0235616935304046,1.71378128184113
"185","CHRVariational",16,"ApproxRejection","IS",1,0.5,0.0271715386304108,0.0115183058003827,2.35898743281395
"186","CHRVariational",16,"ApproxRejection","IS",1,1,0.0341994935723618,0.0114858947551548,2.97752106400012
"187","CHRVariational",16,"ApproxRejection","IS",2,0.5,-0.0494833964283241,0.0367040761029484,1.34817169323462
"188","CHRVariational",16,"ApproxRejection","IS",2,1,-0.0667197784521703,0.0299973678441862,2.22418776203064
"189","CHRVariational",16,"ApproxRejection","IS",3,0.5,-0.0494002084765262,0.0581971127771691,0.848842942873723
"190","CHRVariational",16,"ApproxRejection","IS",3,1,-0.0659387647437548,0.0451984465615873,1.45887236752499
"191","CHRVariational",16,"ApproxRejection","MCMC",-1,0.5,2.76467158200928,0.229231793857556,12.0605939319536
"192","CHRVariational",16,"ApproxRejection","MCMC",-1,1,2.76467158200928,0.229231793857556,12.0605939319536
"193","CHRVariational",16,"ApproxRejection","MCMC",0,0.5,-0.0452853792119023,0.0211336382806592,2.14281036755257
"194","CHRVariational",16,"ApproxRejection","MCMC",0,1,-0.0452853792119023,0.0211336382806592,2.14281036755257
