"","model","chain","nChains","objectiveType","antithetics","dim","essn","mean","sd","snr"
"49","CHRVariational",0,4,"Rejection","MCMC",3,0.5,-0.0660780650032177,0.0529109507569304,1.24885423637115
"50","CHRVariational",0,4,"Rejection","MCMC",3,1,-0.0660780650032177,0.0529109507569304,1.24885423637115
"51","CHRVariational",0,4,"Rejection","OFF",-1,0.5,0.709226625121386,0.109709314404689,6.46459809697867
"52","CHRVariational",0,4,"Rejection","OFF",-1,1,0.709226625121386,0.109709314404689,6.46459809697867
"53","CHRVariational",0,4,"Rejection","OFF",0,0.5,-0.041278238080695,0.0368708564341332,1.11953564611213
"54","CHRVariational",0,4,"Rejection","OFF",0,1,-0.041278238080695,0.0368708564341332,1.11953564611213
"55","CHRVariational",0,4,"Rejection","OFF",1,0.5,0.0292805196356448,0.0199000563808453,1.47137872754112
"56","CHRVariational",0,4,"Rejection","OFF",1,1,0.0292805196356448,0.0199000563808453,1.47137872754112
"57","CHRVariational",0,4,"Rejection","OFF",2,0.5,-0.0630042679458279,0.0471483077999293,1.33629966558253
"58","CHRVariational",0,4,"Rejection","OFF",2,1,-0.0630042679458279,0.0471483077999293,1.33629966558253
"59","CHRVariational",0,4,"Rejection","OFF",3,0.5,-0.0724538584250753,0.0639976100469242,1.13213381518389
"60","CHRVariational",0,4,"Rejection","OFF",3,1,-0.0724538584250753,0.0639976100469242,1.13213381518389
"61","CHRVariational",0,4,"SKL","IS",-1,0.5,0.880825260340943,0.66444472523482,1.32565618611789
"62","CHRVariational",0,4,"SKL","IS",-1,1,0.880825260340943,0.66444472523482,1.32565618611789
"63","CHRVariational",0,4,"SKL","IS",0,0.5,-0.0566883021247459,0.152183897664713,0.372498687408046
"64","CHRVariational",0,4,"SKL","IS",0,1,-0.0566883021247459,0.152183897664713,0.372498687408046
"65","CHRVariational",0,4,"SKL","IS",1,0.5,0.0354829064431992,0.0635122471430031,0.558678176876761
"66","CHRVariational",0,4,"SKL","IS",1,1,0.0354829064431992,0.0635122471430031,0.558678176876761
"67","CHRVariational",0,4,"SKL","IS",2,0.5,-0.0896071657293966,0.18244588802228,0.491143794473756
"68","CHRVariational",0,4,"SKL","IS",2,1,-0.0896071657293966,0.18244588802228,0.491143794473756
"69","CHRVariational",0,4,"SKL","IS",3,0.5,-0.117250288644255,0.263349846990334,0.445226340490559
"70","CHRVariational",0,4,"SKL","IS",3,1,-0.117250288644255,0.263349846990334,0.445226340490559
"71","CHRVariational",0,4,"SKL","MCMC",-1,0.5,4.46255734114454,1.76997619711985,2.52125274249796
"72","CHRVariational",0,4,"SKL","MCMC",-1,1,4.46255734114454,1.76997619711985,2.52125274249796
"73","CHRVariational",0,4,"SKL","MCMC",0,0.5,-0.648192154025007,0.568211309589487,1.1407589801289
"74","CHRVariational",0,4,"SKL","MCMC",0,1,-0.648192154025007,0.568211309589486,1.1407589801289
"75","CHRVariational",0,4,"SKL","MCMC",1,0.5,0.513851901958139,0.404584660989988,1.27007262386266
"76","CHRVariational",0,4,"SKL","MCMC",1,1,0.513851901958139,0.404584660989988,1.27007262386266
"77","CHRVariational",0,4,"SKL","MCMC",2,0.5,-0.921423566626854,0.778033023458599,1.18429878789828
"78","CHRVariational",0,4,"SKL","MCMC",2,1,-0.921423566626854,0.778033023458599,1.18429878789828
"79","CHRVariational",0,4,"SKL","MCMC",3,0.5,-0.888248742613058,1.2519526426832,0.709490688648858
"80","CHRVariational",0,4,"SKL","MCMC",3,1,-0.888248742613058,1.2519526426832,0.709490688648858
"81","CHRVariational",0,4,"SKL","OFF",-1,0.5,4.42101225961161,1.77618735632267,2.48904612673556
"82","CHRVariational",0,4,"SKL","OFF",-1,1,4.42101225961161,1.77618735632267,2.48904612673556
"83","CHRVariational",0,4,"SKL","OFF",0,0.5,-0.651558142451634,0.570806195245251,1.14146999082883
"84","CHRVariational",0,4,"SKL","OFF",0,1,-0.651558142451634,0.570806195245251,1.14146999082883
"85","CHRVariational",0,4,"SKL","OFF",1,0.5,0.517864300148877,0.407688566278573,1.27024484614813
"86","CHRVariational",0,4,"SKL","OFF",1,1,0.517864300148877,0.407688566278573,1.27024484614813
"87","CHRVariational",0,4,"SKL","OFF",2,0.5,-0.930072003066046,0.784733316961543,1.18520774250703
"88","CHRVariational",0,4,"SKL","OFF",2,1,-0.930072003066046,0.784733316961543,1.18520774250703
"89","CHRVariational",0,4,"SKL","OFF",3,0.5,-0.897229191404671,1.25729814268779,0.713616890808903
"90","CHRVariational",0,4,"SKL","OFF",3,1,-0.897229191404671,1.25729814268779,0.713616890808903
"91","CHRVariational",0,8,"ApproxRejection","IS",-1,0.5,0.30072734337823,0.108341074630698,2.77574635846393
"92","CHRVariational",0,8,"ApproxRejection","IS",-1,1,0.30072734337823,0.108341074630698,2.77574635846393
"93","CHRVariational",0,8,"ApproxRejection","IS",0,0.5,-0.0124353950977285,0.0225532721241237,0.551378754678672
"94","CHRVariational",0,8,"ApproxRejection","IS",0,1,-0.0124353950977285,0.0225532721241237,0.551378754678672
"95","CHRVariational",0,8,"ApproxRejection","IS",1,0.5,0.00812144195227135,0.00902391353249739,0.89999110951407
"96","CHRVariational",0,8,"ApproxRejection","IS",1,1,0.00812144195227135,0.00902391353249739,0.89999110951407
"97","CHRVariational",0,8,"ApproxRejection","IS",2,0.5,-0.0175355828398723,0.0246475608325484,0.711453070711793
"98","CHRVariational",0,8,"ApproxRejection","IS",2,1,-0.0175355828398723,0.0246475608325484,0.711453070711793
"99","CHRVariational",0,8,"ApproxRejection","IS",3,0.5,-0.0229062743722168,0.0381951312215113,0.599717127279199
"100","CHRVariational",0,8,"ApproxRejection","IS",3,1,-0.0229062743722168,0.0381951312215113,0.599717127279199
"101","CHRVariational",0,8,"ApproxRejection","MCMC",-1,0.5,0.365074050887746,0.0934421565926399,3.90695232430564
"102","CHRVariational",0,8,"ApproxRejection","MCMC",-1,1,0.365074050887746,0.0934421565926399,3.90695232430564
"103","CHRVariational",0,8,"ApproxRejection","MCMC",0,0.5,-0.0165072759599914,0.0178373168103391,0.925434925864145
"104","CHRVariational",0,8,"ApproxRejection","MCMC",0,1,-0.0165072759599914,0.0178373168103391,0.925434925864146
"105","CHRVariational",0,8,"ApproxRejection","MCMC",1,0.5,0.0112723630564763,0.00690563653598542,1.63234236232037
"106","CHRVariational",0,8,"ApproxRejection","MCMC",1,1,0.0112723630564763,0.00690563653598541,1.63234236232037
"107","CHRVariational",0,8,"ApproxRejection","MCMC",2,0.5,-0.0253813312143733,0.0222682587689528,1.13979864693152
"108","CHRVariational",0,8,"ApproxRejection","MCMC",2,1,-0.0253813312143733,0.0222682587689528,1.13979864693152
"109","CHRVariational",0,8,"ApproxRejection","MCMC",3,0.5,-0.0310104468087599,0.0342131827243405,0.906388834345363
"110","CHRVariational",0,8,"ApproxRejection","MCMC",3,1,-0.0310104468087599,0.0342131827243405,0.906388834345363
"111","CHRVariational",0,8,"ApproxRejection","OFF",-1,0.5,0.358975432642785,0.111433370602529,3.22143564985764
"112","CHRVariational",0,8,"ApproxRejection","OFF",-1,1,0.358975432642785,0.111433370602529,3.22143564985764
"113","CHRVariational",0,8,"ApproxRejection","OFF",0,0.5,-0.0168479044243207,0.0204636540980415,0.823308698612782
"114","CHRVariational",0,8,"ApproxRejection","OFF",0,1,-0.0168479044243207,0.0204636540980415,0.823308698612782
"115","CHRVariational",0,8,"ApproxRejection","OFF",1,0.5,0.0112325343938371,0.00810427138716953,1.38600175848259
"116","CHRVariational",0,8,"ApproxRejection","OFF",1,1,0.0112325343938371,0.00810427138716953,1.38600175848259
"117","CHRVariational",0,8,"ApproxRejection","OFF",2,0.5,-0.0265333868274672,0.0251861841624604,1.05348974883678
"118","CHRVariational",0,8,"ApproxRejection","OFF",2,1,-0.0265333868274672,0.0251861841624604,1.05348974883678
"119","CHRVariational",0,8,"ApproxRejection","OFF",3,0.5,-0.0327926700589289,0.0379353475082163,0.864435736401951
"120","CHRVariational",0,8,"ApproxRejection","OFF",3,1,-0.0327926700589289,0.0379353475082163,0.864435736401951
"121","CHRVariational",0,8,"Rejection","IS",-1,0.5,0.30072734337823,0.108341074630698,2.77574635846393
"122","CHRVariational",0,8,"Rejection","IS",-1,1,0.30072734337823,0.108341074630699,2.77574635846393
"123","CHRVariational",0,8,"Rejection","IS",0,0.5,-0.0124353950977285,0.0225532721241237,0.551378754678672
"124","CHRVariational",0,8,"Rejection","IS",0,1,-0.0124353950977285,0.0225532721241237,0.551378754678672
"125","CHRVariational",0,8,"Rejection","IS",1,0.5,0.00812144195227135,0.00902391353249739,0.89999110951407
"126","CHRVariational",0,8,"Rejection","IS",1,1,0.00812144195227135,0.00902391353249739,0.89999110951407
"127","CHRVariational",0,8,"Rejection","IS",2,0.5,-0.0175355828398723,0.0246475608325484,0.711453070711793
"128","CHRVariational",0,8,"Rejection","IS",2,1,-0.0175355828398723,0.0246475608325484,0.711453070711793
"129","CHRVariational",0,8,"Rejection","IS",3,0.5,-0.0229062743722168,0.0381951312215113,0.599717127279199
"130","CHRVariational",0,8,"Rejection","IS",3,1,-0.0229062743722168,0.0381951312215113,0.599717127279199
"131","CHRVariational",0,8,"Rejection","MCMC",-1,0.5,0.365074050887746,0.0934421565926399,3.90695232430564
"132","CHRVariational",0,8,"Rejection","MCMC",-1,1,0.365074050887746,0.0934421565926399,3.90695232430564
"133","CHRVariational",0,8,"Rejection","MCMC",0,0.5,-0.0165072759599914,0.0178373168103391,0.925434925864145
"134","CHRVariational",0,8,"Rejection","MCMC",0,1,-0.0165072759599914,0.0178373168103391,0.925434925864145
"135","CHRVariational",0,8,"Rejection","MCMC",1,0.5,0.0112723630564763,0.00690563653598541,1.63234236232037
"136","CHRVariational",0,8,"Rejection","MCMC",1,1,0.0112723630564763,0.00690563653598541,1.63234236232037
"137","CHRVariational",0,8,"Rejection","MCMC",2,0.5,-0.0253813312143733,0.0222682587689528,1.13979864693152
"138","CHRVariational",0,8,"Rejection","MCMC",2,1,-0.0253813312143733,0.0222682587689528,1.13979864693152
"139","CHRVariational",0,8,"Rejection","MCMC",3,0.5,-0.0310104468087599,0.0342131827243405,0.906388834345363
"140","CHRVariational",0,8,"Rejection","MCMC",3,1,-0.0310104468087599,0.0342131827243405,0.906388834345363
"141","CHRVariational",0,8,"Rejection","OFF",-1,0.5,0.358975432642785,0.111433370602529,3.22143564985764
"142","CHRVariational",0,8,"Rejection","OFF",-1,1,0.358975432642785,0.111433370602529,3.22143564985764
"143","CHRVariational",0,8,"Rejection","OFF",0,0.5,-0.0168479044243207,0.0204636540980415,0.823308698612782
"144","CHRVariational",0,8,"Rejection","OFF",0,1,-0.0168479044243207,0.0204636540980415,0.823308698612782
"145","CHRVariational",0,8,"Rejection","OFF",1,0.5,0.0112325343938371,0.00810427138716953,1.38600175848259
"146","CHRVariational",0,8,"Rejection","OFF",1,1,0.0112325343938371,0.00810427138716953,1.38600175848259
"147","CHRVariational",0,8,"Rejection","OFF",2,0.5,-0.0265333868274672,0.0251861841624604,1.05348974883678
"148","CHRVariational",0,8,"Rejection","OFF",2,1,-0.0265333868274672,0.0251861841624604,1.05348974883678
"149","CHRVariational",0,8,"Rejection","OFF",3,0.5,-0.0327926700589289,0.0379353475082163,0.864435736401951
"150","CHRVariational",0,8,"Rejection","OFF",3,1,-0.0327926700589289,0.0379353475082163,0.864435736401951
"151","CHRVariational",0,8,"SKL","IS",-1,0.5,0.385624875037921,0.341646850829122,1.1287236340744
"152","CHRVariational",0,8,"SKL","IS",-1,1,0.385624875037921,0.341646850829122,1.1287236340744
"153","CHRVariational",0,8,"SKL","IS",0,0.5,-0.0358735743396479,0.0853676122073225,0.420224642719605
"154","CHRVariational",0,8,"SKL","IS",0,1,-0.0358735743396479,0.0853676122073225,0.420224642719605
"155","CHRVariational",0,8,"SKL","IS",1,0.5,0.0230378879064574,0.0432256058961762,0.532968536329883
"156","CHRVariational",0,8,"SKL","IS",1,1,0.0230378879064574,0.0432256058961762,0.532968536329883
"157","CHRVariational",0,8,"SKL","IS",2,0.5,-0.0474010337304374,0.0855553809431633,0.554039187341439
"158","CHRVariational",0,8,"SKL","IS",2,1,-0.0474010337304374,0.0855553809431633,0.554039187341439
"159","CHRVariational",0,8,"SKL","IS",3,0.5,-0.0626790546435648,0.125606094042332,0.499012847437486
"160","CHRVariational",0,8,"SKL","IS",3,1,-0.0626790546435648,0.125606094042332,0.499012847437486
"161","CHRVariational",0,8,"SKL","MCMC",-1,0.5,0.637883875301186,0.353747957363202,1.803215713402
"162","CHRVariational",0,8,"SKL","MCMC",-1,1,0.637883875301186,0.353747957363202,1.803215713402
"163","CHRVariational",0,8,"SKL","MCMC",0,0.5,-0.0578475695132965,0.0915371094862743,0.631957572594867
"164","CHRVariational",0,8,"SKL","MCMC",0,1,-0.0578475695132965,0.0915371094862743,0.631957572594867
"165","CHRVariational",0,8,"SKL","MCMC",1,0.5,0.0418133066226242,0.0385943552309678,1.08340472000096
"166","CHRVariational",0,8,"SKL","MCMC",1,1,0.0418133066226242,0.0385943552309678,1.08340472000096
"167","CHRVariational",0,8,"SKL","MCMC",2,0.5,-0.0965714991542596,0.121576385214749,0.794327771661238
"168","CHRVariational",0,8,"SKL","MCMC",2,1,-0.0965714991542596,0.121576385214749,0.794327771661238
"169","CHRVariational",0,8,"SKL","MCMC",3,0.5,-0.114002383015753,0.183348912549182,0.621778342891305
"170","CHRVariational",0,8,"SKL","MCMC",3,1,-0.114002383015753,0.183348912549182,0.621778342891306
"171","CHRVariational",0,8,"SKL","OFF",-1,0.5,0.611208851247894,0.418541944022721,1.46032879135935
"172","CHRVariational",0,8,"SKL","OFF",-1,1,0.611208851247894,0.418541944022721,1.46032879135935
"173","CHRVariational",0,8,"SKL","OFF",0,0.5,-0.063474912170263,0.0989978150811707,0.641174879649803
"174","CHRVariational",0,8,"SKL","OFF",0,1,-0.063474912170263,0.0989978150811707,0.641174879649803
"175","CHRVariational",0,8,"SKL","OFF",1,0.5,0.0433295920410325,0.042023148524544,1.03108866332863
"176","CHRVariational",0,8,"SKL","OFF",1,1,0.0433295920410325,0.042023148524544,1.03108866332863
"177","CHRVariational",0,8,"SKL","OFF",2,0.5,-0.102375472017301,0.128318440608262,0.797823535978266
"178","CHRVariational",0,8,"SKL","OFF",2,1,-0.102375472017301,0.128318440608262,0.797823535978266
"179","CHRVariational",0,8,"SKL","OFF",3,0.5,-0.122792807357183,0.192733329428019,0.637112468931032
"180","CHRVariational",0,8,"SKL","OFF",3,1,-0.122792807357183,0.192733329428019,0.637112468931032
"181","CHRVariational",0,16,"ApproxRejection","IS",-1,0.5,0.173984309504861,0.0682254027100335,2.55013972206681
"182","CHRVariational",0,16,"ApproxRejection","IS",-1,1,0.173984309504861,0.0682254027100335,2.55013972206681
